Name,Qualification,Specialization,Link
Dr. Vinay Ausekar,"MBBS, MS, M Ch (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-vinay-ausekar-urologist
Dr. Warisa Khan,"MBBS, MD (DVL)",Dermatologist,skedoc.com/hyderabad/doctor/dr-warisa-khan-dermatologist
Dr Vivek Vardhan Veerapaneni,"MBBS, MD (Pulmonary Medicine)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-vivek-vardhan-veerapaneni-pulmonologist
Dr. Vishnun Rao Veerapaneni,"MBBS, D Ch, MD (Pulmo)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-vishnun-rao-veerapaneni-pulmonologist
Dr. C. Venkateshwara Reddy,"MBBS, MD (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-c-venkateshwara-reddy-paediatrician
Dr. Sridevi Ragi,"MBBS, MS (OBG)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-sridevi-ragi-gynaecologist
Dr. Venugopal Ragi,"MBBS, MS, MCh (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-venugopal-ragi-orthopaedic-surgeon
Dr. P.V. Ratnakar,"MBBS, MD, DCh (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-p-v-ratnakar-paediatrician
Dr. Altaf Akbar,"MBBS, DO (Ophthalmology), FRCS,FRCO",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-altaf-akbar-ophthalmologist
Dr. Asha Samdani,"MBBS, MD (Ophthalmology), FICO, FRCS",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-asha-samdani-ophthalmologist
Dr. Ekta Aggarwal,"MBBS, MD (Oph)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-ekta-aggarwal-ophthalmologist
Dr. K. Tulasi Priya,"MBBS, MS, FRCS (Ophthalmology)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-k-tulasi-priya-ophthalmologist
Dr. Nazia Afrose,"MBBS, DO (Ophthalmology)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-nazia-afrose-ophthalmologist
Dr. P. Charuta Jayant,"MBBS, DNB (Oph)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-p-charuta-jayant-ophthalmologist
Dr. Siva Kumar,"MBBS, MS (Ophthalmology)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-siva-kumar-ophthalmologist
Dr. Syed Musaab Mohiuddin,"MBBS, DO, FICO, MRCS",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-syed-musaab-mohiuddin-ophthalmologist
Dr. Vasavi Desaraju,"MBBS, DO (Ophthalmology)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-vasavi-desaraju-ophthalmologist
Dr. Parveen Kulsum,"MBBS, MS, DO",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-parveen-kulsum-ophthalmologist
Dr. S Nishat,"MBBS, DNB, DGO, MRCOG",Gynaecologist,skedoc.com/hyderabad/doctor/dr-s-nishat-gynaecologist
Dr. Syeda Kahkashan Zainab,"MBBS, DGO",Gynaecologist,skedoc.com/hyderabad/doctor/dr-syeda-kahkashan-zainab-gynaecologist
Dr. Naveen Nukala,"MBBS, MS (Ophthalmology), FVRS",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-naveen-nukala-ophthalmologist
Dr. Roma Johri,"MBBS, MS, DO (Ophthalmology)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-roma-johri-ophthalmologist
Dr. Srinivas Thatipally,"MBBS, MS (Oph), FPOS",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-srinivas-thatipally-ophthalmologist
Dr. Sushma Thatipally,"MBBS, MS (Ophthalmology)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-sushma-thatipally-ophthalmologist
Dr.P. Ravindranath Reddy,"MBBS, MS (Oph)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-p-ravindranath-reddy-ophthalmologist
Dr. Amit Rao,"BDS, PhD",Dentist,skedoc.com/hyderabad/doctor/dr-amit-rao-dentist
Dr. Shiela Patil Konda,MDS,Dentist,skedoc.com/hyderabad/doctor/dr-shiela-patil-konda-dentist
Dr. Sushil Kumar Cirigiri,MDS,Dentist,skedoc.com/hyderabad/doctor/dr-sushil-kumar-cirigiri-dentist
Dr. N V R Murthy,"MBBS, MS (Ophthalmology)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-n-v-r-murthy-ophthalmologist
Dr. Puja Lavania,"MBBS, DNB, DGO",Gynaecologist,skedoc.com/hyderabad/doctor/dr-puja-lavania-gynaecologist
Dr. D.Jaya Lakshmi,"MBBS, MS (OBG)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-d-jaya-lakshmi-gynaecologist
Dr. Ramesh Babu Dasari,"MBBS , MD (Paed)",Paediatrician,skedoc.com/hyderabad/doctor/dr-ramesh-babu-dasari-paediatrician
Dr. D.V. Srinivas,"MBBS, MD, DM (Gastro)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-d-v-srinivas-gastroenterologist
Dr. Preethi Swaroop,"MBBS,  DPM, FIPS",Psychiatrist,skedoc.com/hyderabad/doctor/dr-preethi-swaroop-psychiatrist
Dr. R K L Jaiswal,"MBBS, D.Ortho, DNB(Ortho), MNAMS, M.Ch (Ortho)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-r-k-l-jaiswal-orthopaedic-surgeon
Dr. T. Rajani Ashok,"MBBS, MD (OBG)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-t-rajani-ashok-gynaecologist
Dr. G.Harinath Rao,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-g-harinath-rao-orthopaedic-surgeon
Dr. J. Rajesh,"MBBS, MS, MCh (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-j-rajesh-plastic-surgeon
Dr. Janardhan Ashok Upadhyaya,"MBBS, MD (DVL)",Dermatologist,skedoc.com/hyderabad/doctor/dr-janardhan-ashok-upadhyaya-dermatologist
Dr. M.Kalpana,"MBBS, DNB (Obstetrics and Gynaecology)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-m-kalpana-gynaecologist
Dr. Pratik Yashavant Patil,"MBBS, DNB",Infectious Diseases Specialist,skedoc.com/hyderabad/doctor/dr-pratik-yashavant-patil-infectious-diseases-specialist
Dr. Shailaja Gurujala,"MBBS, MD, DGO, FICOG",Gynaecologist,skedoc.com/hyderabad/doctor/dr-shailaja-gurujala-gynaecologist
Dr. Sushanth M. V,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-sushanth-m-v-orthopaedic-surgeon
Dr.Pradnya Kamble,"MBBS, PGDHS",Diabetologist,skedoc.com/hyderabad/doctor/dr-pradnya-kamble-diabetologist
Dr. Akanshi Singh,"MBBS, MD (OBG)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-akanshi-singh-gynaecologist
Dr. Guru Prasad Reddy,"MBBS, MS, MCh (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-guru-prasad-reddy-plastic-surgeon
Dr. Harinder,"MBBS, MD (Paediatrics), PDCR",Paediatrician,skedoc.com/hyderabad/doctor/dr-harinder-paediatrician
Dr. Madhu Mohan Reddy B,"MBBS, MS, FRCS,  MCh",Paediatric Surgeon,skedoc.com/hyderabad/doctor/dr-madhu-mohan-reddy-b-paediatric-surgeon
Dr. Meeta,"MBBS, MD (OBG)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-meeta-gynaecologist
Dr. Mounika Boppana,"MBBS, MD, DNB (Medical Oncology)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-mounika-boppana-medical-oncologist
Dr. N.C.K.Reddy,"MBBS, MS, MCh",Paediatric Surgeon,skedoc.com/hyderabad/doctor/dr-n-c-k-reddy-paediatric-surgeon
Dr. Nikhil Sunkarineni,"MBBS, MD, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-nikhil-sunkarineni-neurologist
Dr. Nishant Sunkarineni,"MBBS, MD, DM (Gen Medicine)",Cardiologist,skedoc.com/hyderabad/doctor/dr-nishant-sunkarineni-cardiologist
Dr. Ratna Babu Kollabattula,"MBBS, DTCD,",Pulmonologist,skedoc.com/hyderabad/doctor/dr-ratna-babu-kollabattula-pulmonologist
Dr. S. Naunihal Singh,"MBBS, D Ch (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-s-naunihal-singh-paediatrician
Dr. Saketh Kolla,"MBBS, MS (Ortho)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-saketh-kolla-orthopaedic-surgeon
Dr. Surendra Reddy Banka,"MBBS, MS, M Ch (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-surendra-reddy-banka-urologist
Dr. Syeda Mohammedi Begum,M Sc (Nutrition),Nutritionist/Dietitian,skedoc.com/hyderabad/doctor/dr-syeda-mohammedi-begum-nutritionist-dietitian
Dr. Tanvir,"MBBS, MS (OBG), PDCR",Gynaecologist,skedoc.com/hyderabad/doctor/dr-tanvir-gynaecologist
Dr. M.Chandra Sekhar Reddy,"MBBS, MD, DNB, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-m-chandra-sekhar-reddy-neurologist
Dr. Prasad Venkata Madina,"MBBS, DNB, D.Ortho",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-prasad-venkata-madina-orthopaedic-surgeon
Dr. Eshwar Reddy Ravula,"MBBS, MD (Psychiatry)",Psychiatrist,skedoc.com/hyderabad/doctor/dr-eshwar-reddy-ravula-psychiatrist
Dr. Madan Mohan,"MBBS, MS, MCh (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-madan-mohan-orthopaedic-surgeon
Dr. Nikhil Sunkarineni,"MBBS, MD, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-nikhil-sunkarineni-neurologist
Dr. Nishant Sunkarineni,"MBBS, MD, DM (Gen Medicine)",Cardiologist,skedoc.com/hyderabad/doctor/dr-nishant-sunkarineni-cardiologist
Dr. Praveen Kumar Etta,"MBBS, MD, DM (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-praveen-kumar-etta-nephrologist
Dr. S. Venkateshwar Rao,"MBBS, MD, DCh (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-s-venkateshwar-rao-paediatrician
Dr. Mallikarjun,"MBBS, D Ch (Paediatrics)",Paediatrician,skedoc.com/hyderabad/doctor/dr-mallikarjun-paediatrician
Dr. Ramesh Mamidala,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-ramesh-mamidala-orthopaedic-surgeon
Dr. Vasantha Jella,"MBBS, MD (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-vasantha-jella-general-physician
Dr. Ajit Mogalgiddi,"MBBS, MD (Psychiatry)",Psychiatrist,skedoc.com/hyderabad/doctor/dr-ajit-mogalgiddi-psychiatrist
Dr. Anish Kumar Jain,"MBBS, D.Ortho",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-anish-kumar-jain-orthopaedic-surgeon
Dr. Deepak Koppaka,"MBBS, MD (RT), DM (Medical Onco)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-deepak-koppaka-medical-oncologist
Dr. Inala Dhanalakshmi,"MBBS, DNB (General Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-inala-dhanalakshmi-general-physician
Dr. K K Reddy Sadu,"MBBS, DTCD",Pulmonologist,skedoc.com/hyderabad/doctor/dr-k-k-reddy-sadu-pulmonologist
Dr. Raghavendra H.,"MBBS, MS, MCh (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-raghavendra-h-neuro-surgeon
Dr. Ramakrishna Nalluri,MDS (Endodontics),Dentist,skedoc.com/hyderabad/doctor/dr-ramakrishna-nalluri-dentist
Dr. Sunitha Nalluri,BDS,Dentist,skedoc.com/hyderabad/doctor/dr-sunitha-nalluri-dentist
Dr. K Sowmya Reddy,"MBBS, MS (OBG), DGO",Gynaecologist,skedoc.com/hyderabad/doctor/dr-k-sowmya-reddy-gynaecologist
Dr. T Vinay Kumar,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-t-vinay-kumar-orthopaedic-surgeon
Dr. Vikas Gowd,MDS,Dentist,skedoc.com/hyderabad/doctor/dr-vikas-gowd-dentist
Dr. Padma Kiran Pannem,"MBBS, DGO , MRCOG, Diploma in Coloproctology",Gynaecologist,skedoc.com/hyderabad/doctor/dr-padma-kiran-pannem-gynaecologist
Dr. Ramesh Kumar Pitchika,"MBBS, DLO, MRCS",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-ramesh-kumar-pitchika-ent-surgeon
Dr. Mohammed Qamruddin,"MBBS, MS (Oph)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-mohammed-qamruddin-ophthalmologist
Dr. Gangadhar Kyasunurmatam,"MBBS, MS (Gen Surgery)",General Surgeon,skedoc.com/hyderabad/doctor/dr-gangadhar-kyasunurmatam-general-surgeon
Dr. K Nirmala,"MBBS, DGO",Gynaecologist,skedoc.com/hyderabad/doctor/dr-k-nirmala-gynaecologist
Dr.G. Ramesh,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-g-ramesh-orthopaedic-surgeon
Dr. N.C.K.Reddy,"MBBS, MS, MCh",Paediatric Surgeon,skedoc.com/hyderabad/doctor/dr-n-c-k-reddy-paediatric-surgeon
Dr. Chandra Shekhar Reddy,"MBBS, DOMS, FGO",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-chandra-shekhar-reddy-ophthalmologist
Dr. M Deepika Reddy,"MBBS, MS (Ophthalmology)",Ophthalmologist,skedoc.com/hyderabad/doctor/dr-m-deepika-reddy-ophthalmologist
Dr. Aditya Kapoor,"MBBS, MS (Ortho), MRCS (Edinburgh)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-aditya-kapoor-orthopaedic-surgeon
Dr. Archana Prathipati,"MBBS, MD, DNB (Radiotherapy), ESMO, FRCR",Radiation Oncologist,skedoc.com/hyderabad/doctor/dr-archana-prathipati-radiation-oncologist
Dr. B. Vennela,"MBBS, MS (ENT)",ENT Surgeon,skedoc.com/hyderabad/doctor/dr-b-vennela-ent-surgeon
Dr. Ch. Mohana Vamsy,"MBBS, MS, DNB, MCh (Surg Onco), FRCS",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-ch-mohana-vamsy-surgical-oncologist
Dr. Ch.Shyny Reddy,"MBBS, MD, DM (Medical Oncology)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-ch-shyny-reddy-medical-oncologist
Dr. Dindi Arun Kumar,"MBBS, MD, DNB (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-dindi-arun-kumar-nephrologist
Dr. Dudipala Raghuveer Reddy,"MBBS, MS, MCh (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-dudipala-raghuveer-reddy-plastic-surgeon
Dr. Ganesh Mathan,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-ganesh-mathan-cardiologist
Dr. Hidayath Hussain,"MBBS, DNB (Pulmo), DTCD",Pulmonologist,skedoc.com/hyderabad/doctor/dr-hidayath-hussain-pulmonologist
Dr. Immadi Nikhil,"MBBS, MD (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-immadi-nikhil-general-physician
Dr. Kaushal Gulab Vira,"MBBS, DNB (General Surgery), DNB (Surgical Oncology)",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-kaushal-gulab-vira-surgical-oncologist
Dr. Koya Kishore,"BDS, FAGE",Dentist,skedoc.com/hyderabad/doctor/dr-koya-kishore-dentist
Dr. Nirni S.S.,"MBBS, MD, DM (Medical Oncology)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-nirni-s-s-medical-oncologist
Dr. P.Padmaja,"MBBS, MD (OBG)",Gynaecologist,skedoc.com/hyderabad/doctor/dr-p-padmaja-gynaecologist
Dr. Prathyusha Mikkilineni,"MBBS, MD (Psychiatry)",Psychiatrist,skedoc.com/hyderabad/doctor/dr-prathyusha-mikkilineni-psychiatrist
Dr. Raghu Vamsi Misala,"MBBS, MD (Pulmonology), FIIP",Pulmonologist,skedoc.com/hyderabad/doctor/dr-raghu-vamsi-misala-pulmonologist
Dr. Rahul V Chetan,"MBBS, MS, M Ch (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-rahul-v-chetan-urologist
Dr. Rakesh Chava,"MBBS, MD, DNB (Gastroenterology)",Gastroenterologist,skedoc.com/hyderabad/doctor/dr-rakesh-chava-gastroenterologist
Dr. Samragni Vasireddy,"MBBS, MD (General Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-samragni-vasireddy-general-physician
Dr. Saurabh Joshi,"MBBS, MS, FMAS",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-saurabh-joshi-surgical-oncologist
Dr. Sharankumar Shetty,"MBBS, MS (ENT), M Ch (Head and Neck Surgical Oncology)",Surgical Oncologist,skedoc.com/hyderabad/doctor/dr-sharankumar-shetty-surgical-oncologist
Dr. Surendra Bathula,"MBBS, MD, DM (Medical Oncology)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-surendra-bathula-medical-oncologist
Dr. T Narasimha Rao,"MBBS, MS, MCh (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-t-narasimha-rao-neuro-surgeon
Dr. V. Rama Mohan Reddy,"MBBS, MD (RT), DNB (Gen Surg)",Radiation Oncologist,skedoc.com/hyderabad/doctor/dr-v-rama-mohan-reddy-radiation-oncologist
Dr. Vemuri Venkata Ramana,"MBBS, MS, DNB (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-vemuri-venkata-ramana-orthopaedic-surgeon
Dr. Vikram Sharma,"MBBS, MD, MRCP, Dip. Neurology, FAAN",Neurologist,skedoc.com/hyderabad/doctor/dr-vikram-sharma-neurologist
Dr. Vindhya Vasini Andra,"MBBS, MD, DM (Med Onco)",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-vindhya-vasini-andra-medical-oncologist
Dr. A. Dinakar Reddy,"MBBS, MS, MCh (Surgical Gastro), FIAGES",Surgical Gastroenterologist,skedoc.com/hyderabad/doctor/dr-a-dinakar-reddy-surgical-gastroenterologist
Dr. A.Hima Deepti,"MBBS, MD, DM (Nephrology)",Nephrologist,skedoc.com/hyderabad/doctor/dr-a-hima-deepti-nephrologist
Dr. Ch. Hanumantha Rao,"MBBS, MD, IDCCM, EDIC, IFCCM",Pulmonologist,skedoc.com/hyderabad/doctor/dr-ch-hanumantha-rao-pulmonologist
Dr. G. Vishnu,"MBBS, MD (Psychiatry)",Psychiatrist,skedoc.com/hyderabad/doctor/dr-g-vishnu-psychiatrist
Dr. Gurrala Sharath Chandra Reddy,"MBBS, MS, MRCS, CCT, MCh (Plastic Surgery)",Plastic surgeon,skedoc.com/hyderabad/doctor/dr-gurrala-sharath-chandra-reddy-plastic-surgeon
Dr. K.Sandeep Reddy,"MBBS, MD (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-k-sandeep-reddy-general-physician
Dr. Khizar Raoof,"MBBS, MS, M Ch (Urology)",Urologist,skedoc.com/hyderabad/doctor/dr-khizar-raoof-urologist
Dr. Kundan Kumar Jha,"MBBS, DNB (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-kundan-kumar-jha-orthopaedic-surgeon
Dr. Lokesh Venkat Bheemisetty,"MBBS, MS (Orthopaedics)",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-lokesh-venkat-bheemisetty-orthopaedic-surgeon
Dr. M.A Raoof,"MBBS, Diploma in Urology, PGCERT",Urologist,skedoc.com/hyderabad/doctor/dr-m-a-raoof-urologist
Dr. Manjula Anagani,"MBBS, MD (OBG), FICOG",Gynaecologist,skedoc.com/hyderabad/doctor/dr-manjula-anagani-gynaecologist
Dr. N Subha Soujanya,"MBBS, DNB (Pulmo)",Pulmonologist,skedoc.com/hyderabad/doctor/dr-n-subha-soujanya-pulmonologist
Dr. N. Dhananjaneya Reddy,"MBBS, MD, DM (Cardiology)",Cardiologist,skedoc.com/hyderabad/doctor/dr-n-dhananjaneya-reddy-cardiologist
Dr. N. Sandesh,"MBBS, DNB, DM (Neurology)",Neurologist,skedoc.com/hyderabad/doctor/dr-n-sandesh-neurologist
Dr. P. Vijay Karan Reddy,"MBBS, MD (Radiation Oncology)",Radiation Oncologist,skedoc.com/hyderabad/doctor/dr-p-vijay-karan-reddy-radiation-oncologist
Dr. Prabhat Lakkireddi,"MBBS, MS (Orthopaedics), MRCS, FRCS,",Orthopaedic Surgeon,skedoc.com/hyderabad/doctor/dr-prabhat-lakkireddi-orthopaedic-surgeon
Dr. Prudwiraj Sanamandra,"MBBS, MD, DM (Endocrinology)",Endocrinologist,skedoc.com/hyderabad/doctor/dr-prudwiraj-sanamandra-endocrinologist
Dr. R. Sindura Ganga,"MBBS, MS (Gynaecology& Obstetrics), CIMP",Gynaecologist,skedoc.com/hyderabad/doctor/dr-r-sindura-ganga-gynaecologist
Dr. Ramakrishna Chowdhary,"MBBS, MS, MCh (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-ramakrishna-chowdhary-neuro-surgeon
Dr. Ravali Yalamanchili,"MBBS, MD ( DVL)",Dermatologist,skedoc.com/hyderabad/doctor/dr-ravali-yalamanchili-dermatologist
Dr. Raveesh Sunkara,"MBBS, MS, MCh (Neurosurgery)",Neuro Surgeon,skedoc.com/hyderabad/doctor/dr-raveesh-sunkara-neuro-surgeon
Dr. Saadvik Raghuram Y,"MBBS, MD, DM (Medical Oncology), PDCR",Medical Oncologist,skedoc.com/hyderabad/doctor/dr-saadvik-raghuram-y-medical-oncologist
Dr. Samar Sen Popuri,"MBBS, MD (Gen Medicine)",General Physician,skedoc.com/hyderabad/doctor/dr-samar-sen-popuri-general-physician
Dr. Shilpa P,"MBBS, DNB (OBG), DGO",Gynaecologist,skedoc.com/hyderabad/doctor/dr-shilpa-p-gynaecologist
Dr. Shravani Duba,"MBBS, MS (General Surger), FALS",General Surgeon,skedoc.com/hyderabad/doctor/dr-shravani-duba-general-surgeon
Dr. Sneha Latha Paritala,"MBBS, MS (Gynaecology& Obstetrics), CIMP",Gynaecologist,skedoc.com/hyderabad/doctor/dr-sneha-latha-paritala-gynaecologist
